date,year,channel,total_value,quantity,transactions,active_stores,active_products
2022-01-29,2022,Online,1713015.0,2938,801,30,1045
2022-01-30,2022,In-Store,3345327.28,5379,1462,30,1667
2022-01-30,2022,Mobile App,902327.27,1466,401,30,609
2022-01-30,2022,Online,1883831.48,3051,839,30,1049
2022-01-31,2022,In-Store,3296541.29,5291,1431,30,1624
2022-01-31,2022,Mobile App,899274.22,1480,406,30,598
2022-01-31,2022,Online,1768325.36,2890,775,30,1010
2022-02-01,2022,In-Store,3586256.78,5670,1561,30,1724
2022-02-01,2022,Mobile App,963916.08,1478,412,30,612
2022-02-01,2022,Online,1834419.5,2930,797,30,1076
2022-02-02,2022,In-Store,3419888.62,5746,1568,30,1708
2022-02-02,2022,Mobile App,975470.7,1621,432,30,619
2022-02-02,2022,Online,1724894.69,2952,832,30,1054
2022-02-03,2022,In-Store,3567327.83,5785,1561,30,1712
2022-02-03,2022,Mobile App,885026.88,1514,419,30,614
2022-02-03,2022,Online,1763062.46,2912,835,30,1076
2022-02-04,2022,In-Store,3192722.24,5572,1530,30,1709
2022-02-04,2022,Mobile App,838369.07,1533,419,30,608
2022-02-04,2022,Online,1776265.16,3017,828,30,1080
2022-02-05,2022,In-Store,3239630.35,5462,1480,30,1653
2022-02-05,2022,Mobile App,914867.74,1580,444,30,650
2022-02-05,2022,Online,1919566.36,3218,884,30,1140
2022-02-06,2022,In-Store,3086441.02,5223,1458,30,1630
2022-02-06,2022,Mobile App,879612.0,1521,431,30,605
2022-02-06,2022,Online,1839313.21,3061,825,30,1078
2022-02-07,2022,In-Store,2928682.27,5240,1471,30,1663
2022-02-07,2022,Mobile App,862038.63,1508,406,30,602
2022-02-07,2022,Online,1624452.28,2829,786,30,1038
2022-02-08,2022,In-Store,3314424.96,5562,1571,30,1646
2022-02-08,2022,Mobile App,957750.33,1573,443,30,630
2022-02-08,2022,Online,1612660.72,2787,775,30,1038
2022-02-09,2022,In-Store,3157013.3,5377,1512,30,1662
2022-02-09,2022,Mobile App,922399.73,1619,418,30,650
2022-02-09,2022,Online,1841507.85,3175,851,30,1096
2022-02-10,2022,In-Store,3110456.15,5214,1486,30,1615
2022-02-10,2022,Mobile App,916378.77,1451,396,30,594
2022-02-10,2022,Online,1613315.65,2783,787,30,1027
2022-02-11,2022,In-Store,3004973.27,5179,1451,30,1616
2022-02-11,2022,Mobile App,902884.07,1517,438,30,608
2022-02-11,2022,Online,1817909.37,2942,825,30,1062
2022-02-12,2022,In-Store,3440757.9,5620,1579,30,1731
2022-02-12,2022,Mobile App,895147.71,1525,426,30,604
2022-02-12,2022,Online,1759486.31,2829,785,30,1004
2022-02-13,2022,In-Store,3353844.29,5622,1570,30,1704
2022-02-13,2022,Mobile App,816773.98,1392,402,30,574
2022-02-13,2022,Online,2000167.88,3226,883,30,1117
2022-02-14,2022,In-Store,3603085.57,5690,1517,30,1725
2022-02-14,2022,Mobile App,903213.36,1499,433,30,616
2022-02-14,2022,Online,1630990.36,2827,768,30,999
2022-02-15,2022,In-Store,3403661.98,5449,1513,30,1689
2022-02-15,2022,Mobile App,872703.07,1498,408,30,634
2022-02-15,2022,Online,1719999.78,2669,750,30,955
2022-02-16,2022,In-Store,3445680.1,5425,1516,30,1694
2022-02-16,2022,Mobile App,988043.8099999999,1702,447,30,649
2022-02-16,2022,Online,2063884.21,3246,852,30,1137
2022-02-17,2022,In-Store,3750944.89,5898,1574,30,1721
2022-02-17,2022,Mobile App,955721.55,1580,422,30,625
2022-02-17,2022,Online,1720140.48,2973,818,30,1043
2022-02-18,2022,In-Store,3498175.79,5473,1511,30,1689
2022-02-18,2022,Mobile App,894523.75,1515,433,30,612
2022-02-18,2022,Online,1952642.18,3073,819,30,1060
2022-02-19,2022,In-Store,3302726.42,5256,1495,30,1647
2022-02-19,2022,Mobile App,958885.76,1623,443,30,616
2022-02-19,2022,Online,1878621.27,3045,844,30,1107
2022-02-20,2022,In-Store,3571434.4,5322,1490,30,1645
2022-02-20,2022,Mobile App,864492.85,1469,391,30,603
2022-02-20,2022,Online,1851478.05,3055,850,30,1074
2022-02-21,2022,In-Store,3404948.67,5442,1513,30,1694
2022-02-21,2022,Mobile App,1054192.76,1577,424,30,613
2022-02-21,2022,Online,1700900.84,2911,796,30,1006
2022-02-22,2022,In-Store,3345675.06,5544,1547,30,1698
2022-02-22,2022,Mobile App,941768.24,1543,434,30,628
2022-02-22,2022,Online,1829515.2,2878,804,30,1010
2022-02-23,2022,In-Store,3432763.71,5432,1521,30,1649
2022-02-23,2022,Mobile App,1057252.32,1599,431,30,646
2022-02-23,2022,Online,1806092.26,2978,827,30,1082
2022-02-24,2022,In-Store,3466590.16,5530,1514,30,1648
2022-02-24,2022,Mobile App,902338.2,1400,395,30,580
2022-02-24,2022,Online,1765034.06,2902,793,30,1051
2022-02-25,2022,In-Store,3593618.84,5832,1569,30,1750
2022-02-25,2022,Mobile App,971292.26,1445,404,30,590
2022-02-25,2022,Online,1880802.57,2961,823,30,1048
2022-02-26,2022,In-Store,3339499.47,5396,1478,30,1659
2022-02-26,2022,Mobile App,1033915.0,1558,414,30,636
2022-02-26,2022,Online,1843539.48,2926,808,30,1054
2022-02-27,2022,In-Store,3431526.84,5537,1483,30,1669
2022-02-27,2022,Mobile App,937987.72,1482,412,30,623
2022-02-27,2022,Online,1811070.07,2891,790,30,1003
2022-02-28,2022,In-Store,3294698.29,5426,1553,30,1656
2022-02-28,2022,Mobile App,1123679.51,1630,460,30,651
2022-02-28,2022,Online,1734753.47,2837,801,30,1068
2022-03-01,2022,In-Store,3524899.18,5768,1655,30,1708
2022-03-01,2022,Mobile App,954938.6799999999,1610,460,30,661
2022-03-01,2022,Online,2069747.05,3192,877,30,1126
2022-03-02,2022,In-Store,3646080.87,5906,1605,30,1743
2022-03-02,2022,Mobile App,977138.32,1550,437,30,608
2022-03-02,2022,Online,1749739.8,2944,811,30,1040
2022-03-03,2022,In-Store,3671803.22,6098,1639,30,1755
2022-03-03,2022,Mobile App,848196.12,1414,411,30,583
2022-03-03,2022,Online,1941227.93,3205,881,30,1122
2022-03-04,2022,In-Store,3635565.69,5891,1647,30,1747
2022-03-04,2022,Mobile App,1083633.92,1804,480,30,702
2022-03-04,2022,Online,1916491.06,3154,895,30,1076
2022-03-05,2022,In-Store,3764281.4,6202,1719,30,1794
2022-03-05,2022,Mobile App,996583.07,1513,423,30,581
2022-03-05,2022,Online,1895051.82,2996,820,30,1078
2022-03-06,2022,In-Store,3594628.02,5992,1677,30,1763
2022-03-06,2022,Mobile App,990195.72,1655,426,30,656
2022-03-06,2022,Online,2116295.48,3382,915,30,1128
2022-03-07,2022,In-Store,3462383.18,5869,1628,30,1776
2022-03-07,2022,Mobile App,1015519.98,1593,420,30,586
2022-03-07,2022,Online,1899970.8699999999,3195,892,30,1110
2022-03-08,2022,In-Store,3789016.22,6112,1655,30,1819
2022-03-08,2022,Mobile App,949596.11,1516,440,30,626
2022-03-08,2022,Online,1990577.85,3166,877,30,1113
2022-03-09,2022,In-Store,3501171.25,5889,1631,30,1715
2022-03-09,2022,Mobile App,1024603.91,1713,430,30,629
2022-03-09,2022,Online,1904569.5,3244,905,30,1133
2022-03-10,2022,In-Store,3644543.91,5879,1641,30,1733
2022-03-10,2022,Mobile App,1218132.0,1798,471,30,688
2022-03-10,2022,Online,1919433.61,3086,864,30,1117
2022-03-11,2022,In-Store,3562937.62,5945,1659,30,1809
2022-03-11,2022,Mobile App,814321.77,1441,398,30,586
2022-03-11,2022,Online,1987747.45,3133,861,30,1105
2022-03-12,2022,In-Store,3837889.89,6218,1709,30,1809
2022-03-12,2022,Mobile App,974441.03,1600,453,30,625
2022-03-12,2022,Online,1892306.01,3086,878,30,1067
2022-03-13,2022,In-Store,3398977.44,5541,1617,30,1688
2022-03-13,2022,Mobile App,1032469.96,1586,417,30,631
2022-03-13,2022,Online,1859881.42,2990,858,30,1072
2022-03-14,2022,In-Store,3585301.08,5893,1644,30,1735
2022-03-14,2022,Mobile App,913581.24,1509,438,30,611
2022-03-14,2022,Online,2119353.16,3353,906,30,1136
2022-03-15,2022,In-Store,3780625.66,5951,1699,30,1763
2022-03-15,2022,Mobile App,1074042.58,1611,455,30,644
2022-03-15,2022,Online,1985302.14,3209,899,30,1142
2022-03-16,2022,In-Store,3714665.94,6060,1669,30,1783
2022-03-16,2022,Mobile App,1029621.4299999999,1676,478,30,699
2022-03-16,2022,Online,2152572.98,3283,907,30,1111
2022-03-17,2022,In-Store,3785649.21,5923,1635,30,1742
2022-03-17,2022,Mobile App,1064118.89,1804,461,30,716
2022-03-17,2022,Online,1938985.81,3175,882,30,1076
2022-03-18,2022,In-Store,3706286.81,6040,1658,30,1761
2022-03-18,2022,Mobile App,1032146.5,1758,463,30,658
2022-03-18,2022,Online,1933172.42,3113,884,30,1116
2022-03-19,2022,In-Store,3307469.97,5503,1557,30,1680
2022-03-19,2022,Mobile App,964421.72,1596,454,30,641
2022-03-19,2022,Online,1917039.13,3083,889,30,1082
2022-03-20,2022,In-Store,3700168.01,6186,1694,30,1834
2022-03-20,2022,Mobile App,1008979.49,1671,445,30,689
2022-03-20,2022,Online,1842080.6,3051,857,30,1104
2022-03-21,2022,In-Store,3746700.42,5942,1676,30,1778
2022-03-21,2022,Mobile App,1038930.39,1660,479,30,691
2022-03-21,2022,Online,1843976.97,3002,855,30,1057
2022-03-22,2022,In-Store,3572872.61,5929,1639,30,1758
2022-03-22,2022,Mobile App,1049722.76,1883,497,30,710
2022-03-22,2022,Online,1961514.97,3268,924,30,1130
2022-03-23,2022,In-Store,3753951.6,6241,1708,30,1815
2022-03-23,2022,Mobile App,858169.7,1470,425,30,611
2022-03-23,2022,Online,2013706.85,3274,880,30,1129
2022-03-24,2022,In-Store,3670247.0,6030,1644,30,1742
2022-03-24,2022,Mobile App,1082337.2,1685,463,30,666
2022-03-24,2022,Online,1906685.87,3165,891,30,1105
2022-03-25,2022,In-Store,3663405.09,5949,1605,30,1756
2022-03-25,2022,Mobile App,1059492.01,1751,477,30,679
2022-03-25,2022,Online,1745595.96,2980,842,30,1068
2022-03-26,2022,In-Store,3568836.14,5912,1620,30,1798
2022-03-26,2022,Mobile App,947722.19,1640,443,30,631
2022-03-26,2022,Online,1840392.96,2801,796,30,987
2022-03-27,2022,In-Store,3616919.96,5779,1567,30,1694
2022-03-27,2022,Mobile App,1002586.62,1669,440,30,649
2022-03-27,2022,Online,1751543.3,3032,849,30,1087
2022-03-28,2022,In-Store,3576209.48,5688,1603,30,1726
2022-03-28,2022,Mobile App,1102786.49,1720,472,30,654
2022-03-28,2022,Online,1904931.48,3238,902,30,1126
2022-03-29,2022,In-Store,4074966.68,6128,1722,30,1807
2022-03-29,2022,Mobile App,1010555.4400000001,1529,424,30,607
2022-03-29,2022,Online,1847450.59,3158,897,30,1119
2022-03-30,2022,In-Store,3770125.16,6002,1654,30,1758
2022-03-30,2022,Mobile App,855915.61,1406,420,30,578
2022-03-30,2022,Online,1979447.97,3187,854,30,1113
2022-03-31,2022,In-Store,3636206.24,5946,1646,30,1736
2022-03-31,2022,Mobile App,971353.41,1563,446,30,613
2022-03-31,2022,Online,1956935.73,3150,880,30,1129
2022-04-01,2022,In-Store,3776896.89,5869,1618,30,1751
2022-04-01,2022,Mobile App,953604.21,1614,449,30,633
2022-04-01,2022,Online,2117286.62,3539,936,30,1205
2022-04-02,2022,In-Store,3761086.01,6051,1697,30,1771
2022-04-02,2022,Mobile App,941167.57,1577,427,30,625
2022-04-02,2022,Online,2242870.64,3607,989,30,1229
2022-04-03,2022,In-Store,3883284.42,6100,1653,30,1748
2022-04-03,2022,Mobile App,1024362.17,1673,453,30,603
2022-04-03,2022,Online,1932562.3,3155,887,30,1093
2022-04-04,2022,In-Store,3861633.89,6318,1745,30,1884
2022-04-04,2022,Mobile App,1104693.05,1744,460,30,666
2022-04-04,2022,Online,1965915.07,3155,879,30,1092
2022-04-05,2022,In-Store,4036172.63,6190,1747,30,1837
2022-04-05,2022,Mobile App,1059735.55,1745,482,30,675
2022-04-05,2022,Online,1836632.04,3075,878,30,1081
2022-04-06,2022,In-Store,3853729.65,6193,1678,30,1840
2022-04-06,2022,Mobile App,1048753.27,1575,451,30,635
2022-04-06,2022,Online,2043081.71,3203,898,30,1144
2022-04-07,2022,In-Store,3641928.16,5903,1676,30,1818
2022-04-07,2022,Mobile App,894879.36,1477,418,30,587
2022-04-07,2022,Online,1980730.38,3247,915,30,1117
2022-04-08,2022,In-Store,3814819.34,6265,1723,30,1811
2022-04-08,2022,Mobile App,948073.66,1600,446,30,645
2022-04-08,2022,Online,2094933.89,3453,925,30,1208
2022-04-09,2022,In-Store,3784607.48,6104,1650,30,1782
2022-04-09,2022,Mobile App,982163.43,1588,457,30,630
2022-04-09,2022,Online,2170337.44,3341,941,30,1159
2022-04-10,2022,In-Store,3741874.12,5954,1651,30,1764
2022-04-10,2022,Mobile App,1080215.03,1690,443,30,628
2022-04-10,2022,Online,2215514.13,3483,961,30,1186
2022-04-11,2022,In-Store,3822404.45,5990,1653,30,1767
2022-04-11,2022,Mobile App,1007815.29,1569,451,30,641
2022-04-11,2022,Online,2027771.0,3261,913,30,1109
2022-04-12,2022,In-Store,4034020.52,6194,1749,30,1827
2022-04-12,2022,Mobile App,956576.19,1591,451,30,640
2022-04-12,2022,Online,2077349.09,3495,951,30,1185
2022-04-13,2022,In-Store,3903050.43,6131,1729,30,1835
2022-04-13,2022,Mobile App,1049849.37,1766,495,30,696
2022-04-13,2022,Online,2145380.71,3424,946,30,1163
2022-04-14,2022,In-Store,3692284.54,5869,1599,30,1717
2022-04-14,2022,Mobile App,1139509.73,1784,482,30,727
2022-04-14,2022,Online,1978112.32,3250,864,30,1131
2022-04-15,2022,In-Store,3600394.94,6120,1627,30,1810
2022-04-15,2022,Mobile App,1044593.65,1709,460,30,657
2022-04-15,2022,Online,2008405.51,3295,927,30,1115
2022-04-16,2022,In-Store,4060022.95,6449,1750,30,1901
2022-04-16,2022,Mobile App,1038465.83,1583,440,30,646
2022-04-16,2022,Online,2220171.2,3401,929,30,1151
2022-04-17,2022,In-Store,3680305.87,6171,1662,30,1784
2022-04-17,2022,Mobile App,1152278.96,1775,481,30,688
2022-04-17,2022,Online,1943810.3,3170,897,30,1128
2022-04-18,2022,In-Store,3692360.0,6043,1680,30,1792
2022-04-18,2022,Mobile App,981597.2,1695,462,30,684
2022-04-18,2022,Online,2017492.42,3366,921,30,1176
2022-04-19,2022,In-Store,3730718.79,6124,1689,30,1804
2022-04-19,2022,Mobile App,1023155.24,1640,469,30,637
2022-04-19,2022,Online,2050320.13,3367,904,30,1154
2022-04-20,2022,In-Store,3862882.31,6157,1668,30,1755
2022-04-20,2022,Mobile App,1027536.47,1673,435,30,635
2022-04-20,2022,Online,1920374.27,3062,863,30,1107
2022-04-21,2022,In-Store,3737754.77,6077,1677,30,1765
2022-04-21,2022,Mobile App,1006381.08,1644,454,30,661
2022-04-21,2022,Online,1949832.78,3207,873,30,1157
2022-04-22,2022,In-Store,3636624.01,5894,1655,30,1758
2022-04-22,2022,Mobile App,980181.85,1653,468,30,667
2022-04-22,2022,Online,1930623.74,3177,900,30,1125
2022-04-23,2022,In-Store,3587657.55,5725,1627,30,1763
2022-04-23,2022,Mobile App,1020481.48,1651,450,30,648
2022-04-23,2022,Online,2023293.69,3284,889,30,1138
2022-04-24,2022,In-Store,4002854.02,6433,1767,30,1859
2022-04-24,2022,Mobile App,1067440.39,1600,444,30,629
2022-04-24,2022,Online,2071800.61,3275,925,30,1155
2022-04-25,2022,In-Store,3419383.49,5773,1635,30,1719
2022-04-25,2022,Mobile App,953995.59,1620,423,30,645
2022-04-25,2022,Online,1826320.59,2977,846,30,1107
2022-04-26,2022,In-Store,3663004.12,5973,1638,30,1793
2022-04-26,2022,Mobile App,1021255.65,1586,452,30,631
2022-04-26,2022,Online,2146404.64,3297,916,30,1172
2022-04-27,2022,In-Store,3794393.51,6239,1683,30,1849
2022-04-27,2022,Mobile App,1048445.97,1738,492,30,654
2022-04-27,2022,Online,1986707.67,3172,877,30,1063
2022-04-28,2022,In-Store,3577525.53,5961,1644,30,1715
2022-04-28,2022,Mobile App,1037596.58,1692,447,30,672
2022-04-28,2022,Online,1999070.41,3334,909,30,1145
2022-04-29,2022,In-Store,3796880.19,6189,1684,30,1842
2022-04-29,2022,Mobile App,962257.07,1589,453,30,654
2022-04-29,2022,Online,2009020.75,3104,858,30,1076
2022-04-30,2022,In-Store,3839826.37,5981,1639,30,1810
2022-04-30,2022,Mobile App,973014.92,1670,473,30,651
2022-04-30,2022,Online,1992289.33,3130,897,30,1108
2022-05-01,2022,In-Store,4010838.01,6393,1751,30,1822
2022-05-01,2022,Mobile App,1093819.41,1731,486,30,651
2022-05-01,2022,Online,2158494.34,3501,940,30,1233
2022-05-02,2022,In-Store,3807904.52,6056,1670,30,1784
2022-05-02,2022,Mobile App,1151506.22,1826,488,30,701
2022-05-02,2022,Online,1889478.21,3305,935,30,1142
2022-05-03,2022,In-Store,4160936.97,6654,1760,30,1910
2022-05-03,2022,Mobile App,1150240.29,1792,506,30,716
2022-05-03,2022,Online,2092774.58,3200,907,30,1124
2022-05-04,2022,In-Store,3806892.22,6254,1742,30,1852
2022-05-04,2022,Mobile App,1144939.13,1739,486,30,696
2022-05-04,2022,Online,2055362.07,3347,928,30,1132
2022-05-05,2022,In-Store,3737074.9899999998,6019,1709,30,1754
2022-05-05,2022,Mobile App,1063459.45,1674,484,30,664
2022-05-05,2022,Online,1982394.22,3289,928,30,1136
2022-05-06,2022,In-Store,3912430.94,6128,1708,30,1825
2022-05-06,2022,Mobile App,1032334.26,1634,469,30,648
2022-05-06,2022,Online,2000516.34,3335,909,30,1128
2022-05-07,2022,In-Store,3875394.6,6303,1737,30,1840
2022-05-07,2022,Mobile App,1006084.78,1669,461,30,651
2022-05-07,2022,Online,2200956.72,3398,945,30,1154
2022-05-08,2022,In-Store,3910072.11,6421,1757,30,1857
2022-05-08,2022,Mobile App,1008849.71,1636,448,30,637
2022-05-08,2022,Online,2070815.48,3387,949,30,1173
2022-05-09,2022,In-Store,3837612.15,6120,1641,30,1806
2022-05-09,2022,Mobile App,1047385.44,1779,473,30,690
2022-05-09,2022,Online,2226026.35,3478,912,30,1170
2022-05-10,2022,In-Store,3820071.99,6278,1774,30,1872
2022-05-10,2022,Mobile App,1041072.51,1632,454,30,657
2022-05-10,2022,Online,2108543.85,3414,935,30,1185
2022-05-11,2022,In-Store,3692762.9,6143,1730,30,1776
2022-05-11,2022,Mobile App,1090956.16,1603,449,30,637
2022-05-11,2022,Online,2055842.83,3401,931,30,1162
2022-05-12,2022,In-Store,3808267.81,6203,1677,30,1822
2022-05-12,2022,Mobile App,1075485.01,1739,464,30,687
2022-05-12,2022,Online,2144000.28,3383,927,30,1182
2022-05-13,2022,In-Store,3956547.54,6427,1786,30,1899
2022-05-13,2022,Mobile App,1071589.17,1700,450,30,643
2022-05-13,2022,Online,2189678.2,3443,948,30,1217
2022-05-14,2022,In-Store,3741686.36,6301,1727,30,1838
2022-05-14,2022,Mobile App,1134883.19,1728,480,30,679
2022-05-14,2022,Online,1866175.3,3094,877,30,1085
2022-05-15,2022,In-Store,3690716.01,5899,1639,30,1725
2022-05-15,2022,Mobile App,953571.36,1662,456,30,651
2022-05-15,2022,Online,2055916.69,3290,935,30,1131
2022-05-16,2022,In-Store,4366334.16,6943,1838,30,1909
2022-05-16,2022,Mobile App,1127870.2,1789,492,30,705
2022-05-16,2022,Online,1851051.56,3005,882,30,1081
2022-05-17,2022,In-Store,3934227.34,6311,1744,30,1831
2022-05-17,2022,Mobile App,979864.68,1615,464,30,651
2022-05-17,2022,Online,2213559.21,3623,952,30,1216
2022-05-18,2022,In-Store,3604266.84,5916,1657,30,1775
2022-05-18,2022,Mobile App,1038842.49,1718,457,30,693
2022-05-18,2022,Online,2063416.69,3406,928,30,1176
2022-05-19,2022,In-Store,3887558.04,6402,1729,30,1883
2022-05-19,2022,Mobile App,1169961.51,1737,484,30,702
2022-05-19,2022,Online,1826998.84,3257,896,30,1165
2022-05-20,2022,In-Store,3801624.25,6297,1714,30,1856
2022-05-20,2022,Mobile App,1174245.57,1758,459,30,682
2022-05-20,2022,Online,2124589.75,3312,902,30,1137
2022-05-21,2022,In-Store,4051680.42,6279,1711,30,1808
2022-05-21,2022,Mobile App,1043010.1,1662,458,30,656
2022-05-21,2022,Online,2129862.66,3433,945,30,1165
2022-05-22,2022,In-Store,3751542.4899999998,6164,1709,30,1781
2022-05-22,2022,Mobile App,1075143.59,1702,480,30,718
2022-05-22,2022,Online,2163959.65,3331,933,30,1140
2022-05-23,2022,In-Store,4142580.94,6493,1798,30,1910
2022-05-23,2022,Mobile App,1085060.2,1691,461,30,659
2022-05-23,2022,Online,2211036.45,3391,942,30,1141
2022-05-24,2022,In-Store,3960944.81,6337,1786,30,1814
2022-05-24,2022,Mobile App,1062706.52,1712,450,30,670
2022-05-24,2022,Online,2045121.24,3296,911,30,1153
2022-05-25,2022,In-Store,3802896.47,6287,1672,30,1804
2022-05-25,2022,Mobile App,1191897.43,1803,483,30,714
2022-05-25,2022,Online,2219857.27,3557,960,30,1206
2022-05-26,2022,In-Store,3950140.31,6287,1710,30,1858
2022-05-26,2022,Mobile App,1026542.46,1674,473,30,663
2022-05-26,2022,Online,2006998.85,3376,908,30,1136
2022-05-27,2022,In-Store,4077809.45,6407,1747,30,1853
2022-05-27,2022,Mobile App,1027601.59,1559,447,30,628
2022-05-27,2022,Online,2051072.84,3293,905,30,1109
2022-05-28,2022,In-Store,2229169.45,6368,1766,30,1823
2022-05-28,2022,Mobile App,565762.89,1663,475,30,682
2022-05-28,2022,Online,1108451.23,3121,891,30,1093
2022-05-29,2022,In-Store,2265051.77,6371,1735,30,1826
2022-05-29,2022,Mobile App,608719.47,1739,471,30,684
2022-05-29,2022,Online,1179469.11,3336,935,30,1121
2022-05-30,2022,In-Store,2199842.25,6161,1656,30,1837
2022-05-30,2022,Mobile App,614151.52,1636,442,30,616
2022-05-30,2022,Online,1194772.55,3346,928,30,1142
2022-05-31,2022,In-Store,2286669.19,6405,1750,30,1858
2022-05-31,2022,Mobile App,491090.93,1494,436,30,610
2022-05-31,2022,Online,1133590.69,3255,884,30,1130
2022-06-01,2022,In-Store,2373675.45,6559,1811,30,1900
2022-06-01,2022,Mobile App,582261.36,1722,464,30,673
2022-06-01,2022,Online,1250686.88,3557,970,30,1224
