year,channel,store_id,total_value,quantity,transactions
2022,Online,ST03,26888631.17,44652,12450
2022,Online,ST04,26959954.18,45378,12569
2022,Online,ST05,27408451.59,45643,12555
2022,Online,ST06,36450482.83,61204,16680
2022,Online,ST07,35821909.09,59918,16662
2022,Online,ST08,27275364.02,45552,12558
2022,Online,ST09,27454069.5,45371,12557
2022,Online,ST10,18261095.96,30802,8470
2022,Online,ST11,27109319.44,44732,12476
2022,Online,ST12,17582013.4,29586,8210
2022,Online,ST13,18483403.13,30351,8366
2022,Online,ST14,27155897.83,45095,12450
2022,Online,ST15,17673280.41,30126,8278
2022,Online,ST16,18129929.97,30489,8421
2022,Online,ST17,27462616.51,45374,12515
2022,Online,ST18,27262730.57,45372,12546
2022,Online,ST19,18037006.53,29807,8277
2022,Online,ST20,36212548.45,60769,16876
2022,Online,ST21,36222970.23,60416,16679
2022,Online,ST22,36378062.81,61114,16789
2022,Online,ST23,18296959.66,30622,8382
2022,Online,ST24,18115375.75,30366,8466
2022,Online,ST25,18040417.08,29944,8247
2022,Online,ST26,17980247.33,30390,8400
2022,Online,ST27,27219850.17,45347,12584
2022,Online,ST28,27466172.7,45776,12656
2022,Online,ST29,36760620.7,60600,16638
2022,Online,ST30,35623354.25,60119,16779
2023,In-Store,ST01,34661126.2,59846,16456
2023,In-Store,ST02,24134483.43,41656,11384
2023,In-Store,ST03,51694658.32,89473,24675
2023,In-Store,ST04,51834748.48,89733,24585
2023,In-Store,ST05,52366174.22,90332,24867
2023,In-Store,ST06,68439122.97,119174,33074
2023,In-Store,ST07,69576999.99,120034,33079
2023,In-Store,ST08,51472590.57,89738,24803
2023,In-Store,ST09,51658705.24,90176,24756
2023,In-Store,ST10,34065873.21,59363,16466
2023,In-Store,ST11,51322628.58,89791,24701
2023,In-Store,ST12,33490880.3,58960,16534
2023,In-Store,ST13,33843773.97,59126,16354
2023,In-Store,ST14,50430748.05,89064,24643
2023,In-Store,ST15,35524857.53,60702,16618
2023,In-Store,ST16,34266743.39,59965,16627
2023,In-Store,ST17,51432800.98,89391,24794
2023,In-Store,ST18,52413582.97,90741,24835
2023,In-Store,ST19,34216993.07,58596,16378
2023,In-Store,ST20,68325240.0,119448,33081
2023,In-Store,ST21,68140022.92,118440,32850
2023,In-Store,ST22,70122659.99,120721,33168
2023,In-Store,ST23,34076098.29,59436,16382
2023,In-Store,ST24,34611517.38,61091,16838
2023,In-Store,ST25,34003082.78,59256,16465
2023,In-Store,ST26,34447572.92,60082,16641
2023,In-Store,ST27,51519113.58,89299,24862
2023,In-Store,ST28,51605427.22,89642,24834
2023,In-Store,ST29,68821672.99,120632,33306
2023,In-Store,ST30,69003865.29,119966,32993
2023,Mobile App,ST01,9123268.45,15945,4454
2023,Mobile App,ST02,6377984.76,10903,2989
2023,Mobile App,ST03,14198023.9,24745,6767
2023,Mobile App,ST04,13633422.55,23594,6646
2023,Mobile App,ST05,14135848.68,23852,6621
2023,Mobile App,ST06,18924360.55,32733,9071
2023,Mobile App,ST07,18733043.37,32558,8938
2023,Mobile App,ST08,14262651.41,24710,6775
2023,Mobile App,ST09,13769409.21,24121,6701
2023,Mobile App,ST10,9142506.98,15941,4467
2023,Mobile App,ST11,14122409.15,24826,6837
2023,Mobile App,ST12,9314570.47,16059,4424
2023,Mobile App,ST13,9667623.82,16436,4489
2023,Mobile App,ST14,14101246.9,24217,6733
2023,Mobile App,ST15,9014153.23,15818,4402
2023,Mobile App,ST16,9282002.64,16143,4458
2023,Mobile App,ST17,14002605.05,24557,6751
2023,Mobile App,ST18,13907054.29,24606,6772
2023,Mobile App,ST19,9223877.01,15976,4492
2023,Mobile App,ST20,19079352.9,33227,9083
2023,Mobile App,ST21,18575515.49,32587,8940
2023,Mobile App,ST22,18664638.02,32604,8925
2023,Mobile App,ST23,9073678.31,15898,4423
2023,Mobile App,ST24,9506350.44,16639,4562
2023,Mobile App,ST25,9112157.19,16201,4433
2023,Mobile App,ST26,9616262.61,16221,4508
2023,Mobile App,ST27,14174900.27,24285,6703
2023,Mobile App,ST28,13596712.11,24185,6725
2023,Mobile App,ST29,18903466.71,32674,8979
2023,Mobile App,ST30,18481143.83,32210,8921
2023,Online,ST01,18546369.69,32746,9066
2023,Online,ST02,12525718.0,21985,6087
2023,Online,ST03,27617669.71,47773,13271
2023,Online,ST04,28161564.29,48829,13423
2023,Online,ST05,27764109.48,48071,13252
2023,Online,ST06,37280709.45,65205,17852
2023,Online,ST07,37162816.4,64480,17867
2023,Online,ST08,27718800.48,48294,13294
2023,Online,ST09,27764715.05,47989,13253
2023,Online,ST10,17938693.21,31644,8787
2023,Online,ST11,27858071.02,47918,13267
2023,Online,ST12,18707758.48,31910,8898
2023,Online,ST13,18758977.97,32432,8882
2023,Online,ST14,28184250.81,48762,13310
2023,Online,ST15,18884280.48,32726,8961
2023,Online,ST16,18690920.89,32378,8889
2023,Online,ST17,28262440.61,48960,13476
2023,Online,ST18,28462492.01,48843,13404
2023,Online,ST19,18774488.3,32535,9002
2023,Online,ST20,36901835.98,64118,17615
2023,Online,ST21,36591030.91,64358,17705
2023,Online,ST22,36964284.69,64144,17713
2023,Online,ST23,18414623.77,31813,8818
2023,Online,ST24,18329284.44,31381,8770
2023,Online,ST25,18606101.71,32248,8891
2023,Online,ST26,18789047.24,32551,8983
2023,Online,ST27,27763152.97,48096,13315
2023,Online,ST28,28085015.83,48774,13398
2023,Online,ST29,37245471.89,64565,17808
2023,Online,ST30,37745543.43,65714,18013
2024,In-Store,ST01,35804692.98,63768,17539
2024,In-Store,ST02,24312757.5,43670,12035
2024,In-Store,ST03,51739947.07,93457,25749
2024,In-Store,ST04,53741749.38,96379,26444
2024,In-Store,ST05,52377832.79,94525,26125
2024,In-Store,ST06,69807124.37,125400,34622
2024,In-Store,ST07,70593065.83,126179,34880
2024,In-Store,ST08,53202003.98,95184,26223
2024,In-Store,ST09,53349234.38,95708,26399
2024,In-Store,ST10,35646847.81,63944,17611
2024,In-Store,ST11,51966143.17,93922,25900
2024,In-Store,ST12,35085691.83,63264,17268
2024,In-Store,ST13,35162393.81,62852,17212
2024,In-Store,ST14,53374643.15,96444,26417
2024,In-Store,ST15,35354586.64,63629,17457
2024,In-Store,ST16,34655444.68,62634,17362
2024,In-Store,ST17,52367179.98,95187,26340
2024,In-Store,ST18,52149515.58,94295,26017
2024,In-Store,ST19,35275897.18,63868,17524
2024,In-Store,ST20,70047099.52,127356,35153
2024,In-Store,ST21,69799331.4,125568,34725
2024,In-Store,ST22,70375919.35,126501,34869
2024,In-Store,ST23,34736386.78,62520,17321
2024,In-Store,ST24,35671560.05,64114,17620
2024,In-Store,ST25,35330486.23,63394,17579
2024,In-Store,ST26,35270704.22,63345,17503
2024,In-Store,ST27,52792316.32,94976,26339
2024,In-Store,ST28,53310999.01,95367,26044
2024,In-Store,ST29,70145908.94,126416,34955
2024,In-Store,ST30,70424647.25,126036,34745
2024,Mobile App,ST01,9402532.02,16854,4662
2024,Mobile App,ST02,6406705.82,11588,3219
2024,Mobile App,ST03,14473605.47,25914,7084
2024,Mobile App,ST04,14353421.86,25392,7067
2024,Mobile App,ST05,14133128.6,25257,7014
2024,Mobile App,ST06,18964193.27,33804,9344
2024,Mobile App,ST07,19260050.18,34117,9493
2024,Mobile App,ST08,14335543.46,25871,7181
2024,Mobile App,ST09,14311479.39,25351,7018
2024,Mobile App,ST10,9730386.66,17294,4728
2024,Mobile App,ST11,14151699.56,25758,7102
2024,Mobile App,ST12,9583144.87,17066,4674
2024,Mobile App,ST13,9630987.43,17042,4727
2024,Mobile App,ST14,13821930.54,25225,7047
2024,Mobile App,ST15,9617129.32,16943,4759
2024,Mobile App,ST16,9399818.33,17132,4694
2024,Mobile App,ST17,14631002.74,26367,7180
2024,Mobile App,ST18,14582027.17,26349,7273
2024,Mobile App,ST19,9517802.51,16979,4680
2024,Mobile App,ST20,18551412.94,33543,9401
2024,Mobile App,ST21,19142927.64,34150,9444
2024,Mobile App,ST22,18741383.21,34020,9407
2024,Mobile App,ST23,9405425.66,16659,4593
2024,Mobile App,ST24,9440115.32,17472,4748
2024,Mobile App,ST25,9812147.96,17459,4843
2024,Mobile App,ST26,9925436.97,18019,4899
2024,Mobile App,ST27,14127535.59,25570,7045
2024,Mobile App,ST28,14558805.53,26134,7209
2024,Mobile App,ST29,19303509.22,34619,9428
2024,Mobile App,ST30,19134270.27,34305,9415
2024,Online,ST01,18779659.23,33984,9518
2024,Online,ST02,13044912.85,23217,6418
2024,Online,ST03,28739297.25,51562,14096
2024,Online,ST04,28586275.66,51150,14061
2024,Online,ST05,28290525.25,51213,14269
2024,Online,ST06,38062292.11,69153,18936
2024,Online,ST07,37592694.29,67506,18664
2024,Online,ST08,28328737.67,50913,14016
2024,Online,ST09,27789257.21,50221,13996
2024,Online,ST10,18770500.81,34465,9445
2024,Online,ST11,28350182.58,51190,14136
2024,Online,ST12,18550020.63,33976,9334
2024,Online,ST13,18928594.26,34401,9426
2024,Online,ST14,28251085.87,51297,14158
2024,Online,ST15,18482258.95,33293,9151
2024,Online,ST16,19171354.64,34327,9449
2024,Online,ST17,28650999.02,50992,14010
2024,Online,ST18,27958306.35,50929,14166
2024,Online,ST19,18861726.09,33922,9270
2024,Online,ST20,38136020.14,67813,18757
2024,Online,ST21,38662774.11,68455,18709
2024,Online,ST22,37354747.42,67194,18542
2024,Online,ST23,18941816.38,33583,9290
2024,Online,ST24,18750059.62,33746,9371
2024,Online,ST25,18476544.7,32786,9059
2024,Online,ST26,18481904.04,33562,9286
2024,Online,ST27,28449302.6,51422,14073
2024,Online,ST28,28129447.95,50789,13968
2024,Online,ST29,38821560.4,69510,19064
2024,Online,ST30,37057469.53,67309,18737
2025,In-Store,ST01,39256459.4,66034,18286
2025,In-Store,ST02,27323970.17,45088,12556
2025,In-Store,ST03,57975177.73,97402,27248
2025,In-Store,ST04,58948948.86,98504,27492
2025,In-Store,ST05,60502364.76,100063,27574
2025,In-Store,ST06,78815638.19,131769,36556
2025,In-Store,ST07,79846919.89,133848,36873
2025,In-Store,ST08,59587353.44,98855,27370
2025,In-Store,ST09,60390810.58,100616,27636
2025,In-Store,ST10,39151016.79,65522,18225
2025,In-Store,ST11,58670972.78,98497,27248
2025,In-Store,ST12,39012030.05,65291,18197
2025,In-Store,ST13,39604700.99,66156,18443
2025,In-Store,ST14,59276757.58,99640,27481
2025,In-Store,ST15,38868376.21,65317,18170
2025,In-Store,ST16,39784629.4,66264,18301
2025,In-Store,ST17,58680918.08,98711,27381
2025,In-Store,ST18,59421910.8,99389,27460
2025,In-Store,ST19,40160646.49,66398,18403
2025,In-Store,ST20,78346409.98,131996,36661
2025,In-Store,ST21,78031942.43,130662,36456
2025,In-Store,ST22,78726718.6,130428,36298
2025,In-Store,ST23,39596116.03,65837,18278
2025,In-Store,ST24,38943030.63,65668,18309
2025,In-Store,ST25,38999246.13,65341,18279
2025,In-Store,ST26,39592761.18,65967,18415
2025,In-Store,ST27,59589123.7,99466,27420
2025,In-Store,ST28,58634048.49,98883,27341
2025,In-Store,ST29,78814109.89,131494,36481
2025,In-Store,ST30,79200806.85,131013,36339
2025,Mobile App,ST01,10314720.12,17222,4820
2025,Mobile App,ST02,7294249.34,12003,3324
2025,Mobile App,ST03,16015312.69,26743,7402
2025,Mobile App,ST04,16070751.68,26782,7467
2025,Mobile App,ST05,15750543.84,26694,7365
2025,Mobile App,ST06,21746302.56,36390,10076
2025,Mobile App,ST07,21249955.07,35246,9805
2025,Mobile App,ST08,16106511.03,27092,7529
2025,Mobile App,ST09,16411804.21,27102,7480
2025,Mobile App,ST10,10498938.34,17419,4947
2025,Mobile App,ST11,15629692.94,26761,7435
2025,Mobile App,ST12,10746759.77,18132,5020
2025,Mobile App,ST13,10665583.06,17528,4918
2025,Mobile App,ST14,16191066.58,26849,7387
2025,Mobile App,ST15,10251484.48,17426,4844
2025,Mobile App,ST16,10730537.36,17945,4976
2025,Mobile App,ST17,15748248.98,26639,7502
2025,Mobile App,ST18,16041927.67,26726,7485
2025,Mobile App,ST19,10620644.61,17560,4876
2025,Mobile App,ST20,21312373.58,35349,9925
2025,Mobile App,ST21,21520957.89,35669,9870
2025,Mobile App,ST22,21598182.55,35968,9938
2025,Mobile App,ST23,11218526.17,18735,5174
2025,Mobile App,ST24,10715406.59,17970,4969
2025,Mobile App,ST25,10401655.7,17475,4869
2025,Mobile App,ST26,11104086.81,18152,4957
2025,Mobile App,ST27,16165506.95,26692,7403
2025,Mobile App,ST28,15879195.45,27103,7449
2025,Mobile App,ST29,21096281.82,35392,9787
2025,Mobile App,ST30,21447452.01,35933,9908
2025,Online,ST01,21987623.41,36068,10026
2025,Online,ST02,14866379.18,24457,6843
2025,Online,ST03,31889942.53,53507,14745
2025,Online,ST04,31189235.57,52166,14582
2025,Online,ST05,32263821.11,53420,14784
2025,Online,ST06,42703787.9,71133,19531
2025,Online,ST07,42671124.35,72069,19894
2025,Online,ST08,31827891.47,53304,14770
2025,Online,ST09,31110808.93,52252,14552
2025,Online,ST10,21709906.43,35509,9887
2025,Online,ST11,32219133.03,53487,14832
2025,Online,ST12,21718903.82,35751,9939
2025,Online,ST13,21210229.11,35580,9772
2025,Online,ST14,31788708.76,53223,14774
2025,Online,ST15,21258642.05,35459,9867
2025,Online,ST16,21295247.66,35587,9809
2025,Online,ST17,32041077.72,53734,14723
2025,Online,ST18,32337235.62,53928,14952
2025,Online,ST19,21316619.22,35513,9812
2025,Online,ST20,42358581.84,71016,19723
2025,Online,ST21,40952996.68,69391,19307
2025,Online,ST22,42302581.69,70554,19572
2025,Online,ST23,21288345.0,35756,9860
2025,Online,ST24,21528687.34,35733,9828
2025,Online,ST25,21344185.33,35673,9825
2025,Online,ST26,22024231.35,36404,10017
2025,Online,ST27,31638892.65,53137,14638
2025,Online,ST28,32012747.81,53272,14805
2025,Online,ST29,41999755.82,70573,19496
2025,Online,ST30,41726408.16,69855,19527
